City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mozarlandia,BR,71.8,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
2,Avera,US,81.91,broken clouds,33.194,-82.5271,
3,San Miguel,SV,82.06,few clouds,13.4833,-88.1833,Excalibur
7,Zorritos,PE,73.69,broken clouds,-3.6805,-80.6782,Hotel Pinamar
9,Rikitea,PF,74.03,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
13,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
15,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
18,Touros,BR,73.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
19,Port-Gentil,GA,75.07,overcast clouds,-0.7193,8.7815,Fengshui Residence
20,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Jamestown,US,72.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Tucuman,AR,71.6,smoke,-26.8241,-65.2226,Dallas Hotel Tucuman
28,Altamira,BR,77.47,overcast clouds,-3.2033,-52.2064,Requinte Hotel
30,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
36,Faanui,PF,78.69,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Axim,GH,75.99,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
42,Tautira,PF,76.98,light rain,-17.7333,-149.15,Pension Oaoa
43,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
44,Monrovia,LR,74.53,light rain,6.3005,-10.7969,Sunset Inn
46,Juruti,BR,77.34,few clouds,-2.1522,-56.0922,Pousada Marupiara
47,Sao Felix Do Xingu,BR,71.46,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
53,Itupiranga,BR,75.52,clear sky,-5.1347,-49.3267,Hotel Panorama
56,Olinda,BR,73.13,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
59,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
60,Tucurui,BR,78.58,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
64,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
68,Mocajuba,BR,78.22,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
71,Tamandare,BR,72.63,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
73,Santa Rosa,PH,87.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
75,Baiao,BR,75.72,overcast clouds,-2.7906,-49.6717,Município de Baião
78,Itaueira,BR,73.4,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
79,Miracema Do Tocantins,BR,74.1,clear sky,-9.5618,-48.3967,Miami Apart Hotel
82,Fare,PF,78.31,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
83,Mayor Pablo Lagerenza,PY,73.99,clear sky,-19.9309,-60.7718,
85,Ipixuna,BR,77.13,overcast clouds,-1.7625,-48.8043,Chalé do Mato
89,Buchanan,LR,74.7,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
91,Sao Jose Da Coroa Grande,BR,72.64,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
93,Palmas,BR,75.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
96,Pocone,BR,75.2,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
99,Pangoa,PE,71.46,overcast clouds,-12.1167,-73.0,
103,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
108,Bonthe,SL,74.08,light rain,7.5264,-12.505,Bonthe Holiday Village
110,Santiago Del Estero,AR,71.8,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
114,Rio De Janeiro,BR,73.54,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
115,Tucuma,BR,76.24,broken clouds,-0.1833,-50.05,
116,Pozo Colorado,PY,74.93,scattered clouds,-23.4923,-58.7972,Hospedaje La Norteña
121,Hidrolandia,BR,77.32,broken clouds,-4.4081,-40.4378,Pousada Rei De Carneiro
123,Penalva,BR,76.28,overcast clouds,-3.2942,-45.1736,Hotel São José
