City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Victoria,HK,22.2855,114.1577,94.96,76,14,8.99,few clouds,2022-07-25 01:50:03
1,San Jose,US,37.3394,-121.895,85.28,53,0,13.8,clear sky,2022-07-25 01:50:03
2,Rikitea,PF,-23.1203,-134.9692,75.45,80,21,15.52,few clouds,2022-07-25 01:54:17
3,Saint-Philippe,RE,-21.3585,55.7679,63.99,76,35,5.97,scattered clouds,2022-07-25 01:49:57
4,Eyl,SO,7.9803,49.8164,75.85,70,29,21.3,scattered clouds,2022-07-25 01:54:18
5,Qianan,CN,44.9932,124.0581,77.36,64,20,5.39,few clouds,2022-07-25 01:54:18
6,Jamestown,US,42.097,-79.2353,74.01,88,20,8.05,few clouds,2022-07-25 01:53:25
7,Upernavik,GL,72.7868,-56.1549,38.03,98,95,9.26,overcast clouds,2022-07-25 01:54:20
8,Klaksvik,FO,62.2266,-6.589,49.12,91,93,21.18,overcast clouds,2022-07-25 01:54:21
9,Nhulunbuy,AU,-12.2333,136.7667,83.01,61,16,13.8,few clouds,2022-07-25 01:54:21
10,Ushuaia,AR,-54.8,-68.3,35.26,60,0,5.75,clear sky,2022-07-25 01:54:03
11,Bismarck,US,46.8083,-100.7837,73.65,51,0,5.75,clear sky,2022-07-25 01:54:22
12,Grindavik,IS,63.8424,-22.4338,49.95,100,75,6.91,light intensity drizzle,2022-07-25 01:54:23
13,Matara,LK,5.9485,80.5353,79.43,82,86,13.44,overcast clouds,2022-07-25 01:54:23
14,Bredasdorp,ZA,-34.5322,20.0403,45.93,88,0,6.06,clear sky,2022-07-25 01:51:50
15,East London,ZA,-33.0153,27.9116,58.89,56,100,5.41,overcast clouds,2022-07-25 01:54:25
16,Portree,GB,57.4129,-6.1942,56.52,98,100,5.57,overcast clouds,2022-07-25 01:54:26
17,Fredericksburg,US,38.3032,-77.4605,87.15,68,0,9.22,clear sky,2022-07-25 01:50:51
18,Albany,US,42.6001,-73.9662,74.73,86,99,8.01,overcast clouds,2022-07-25 01:54:26
19,Busselton,AU,-33.65,115.3333,60.8,70,69,19.17,broken clouds,2022-07-25 01:49:55
20,Naze,JP,28.3667,129.4833,86.92,78,20,1.1,few clouds,2022-07-25 01:54:29
21,Provideniya,RU,64.3833,-173.3,48.36,76,75,4.47,broken clouds,2022-07-25 01:53:24
22,Komsomolskiy,UZ,40.4272,71.7189,86.72,19,0,9.22,clear sky,2022-07-25 01:54:02
23,Yellowknife,CA,62.456,-114.3525,61.32,94,75,11.5,light intensity shower rain,2022-07-25 01:54:31
24,Mossendjo,CG,-2.9506,12.7261,65.35,94,97,3.47,light rain,2022-07-25 01:54:33
25,Nikolskoye,RU,59.7035,30.7861,62.49,98,44,3.0,scattered clouds,2022-07-25 01:54:34
26,Chokurdakh,RU,70.6333,147.9167,70.75,32,35,11.7,scattered clouds,2022-07-25 01:54:35
27,Pimentel,PE,-6.8367,-79.9342,62.62,90,100,12.8,overcast clouds,2022-07-25 01:54:35
28,Turukhansk,RU,65.8167,87.9833,63.16,61,30,16.84,scattered clouds,2022-07-25 01:54:36
29,Burnie,AU,-41.0667,145.9167,55.92,83,91,13.31,overcast clouds,2022-07-25 01:54:36
30,Atuona,PF,-9.8,-139.0333,76.64,63,3,13.44,clear sky,2022-07-25 01:50:16
31,Livingston,GB,55.9029,-3.5226,59.85,95,75,2.3,broken clouds,2022-07-25 01:54:37
32,Huicungo,PE,-7.2833,-76.8,71.22,97,100,1.9,overcast clouds,2022-07-25 01:54:38
33,Imamoglu,TR,37.2651,35.6572,72.63,41,0,7.36,clear sky,2022-07-25 01:54:38
34,Kununurra,AU,-15.7667,128.7333,78.78,22,15,3.44,few clouds,2022-07-25 01:54:39
35,Olafsvik,IS,64.8945,-23.7142,51.21,83,87,7.45,overcast clouds,2022-07-25 01:54:39
36,Merauke,ID,-8.4667,140.3333,82.44,71,61,14.5,broken clouds,2022-07-25 01:54:40
37,Saskylakh,RU,71.9167,114.0833,72.9,52,19,10.89,few clouds,2022-07-25 01:54:41
38,Punta Arenas,CL,-53.15,-70.9167,33.91,80,0,8.05,clear sky,2022-07-25 01:54:26
39,Hanyang,CN,32.1371,105.5126,80.15,71,64,1.19,broken clouds,2022-07-25 01:54:42
40,Poum,NC,-20.2333,164.0167,75.07,64,0,13.44,clear sky,2022-07-25 01:54:43
41,Arraial Do Cabo,BR,-22.9661,-42.0278,70.84,88,29,20.31,scattered clouds,2022-07-25 01:54:43
42,Collie,AU,-33.3667,116.15,55.56,87,61,9.98,broken clouds,2022-07-25 01:54:44
43,Bluff,NZ,-46.6,168.3333,43.81,78,35,13.4,scattered clouds,2022-07-25 01:52:10
44,Sabzevar,IR,36.2126,57.6819,81.68,30,0,16.11,clear sky,2022-07-25 01:54:45
45,Tawang,IN,27.5833,91.8667,60.53,87,100,3.02,overcast clouds,2022-07-25 01:54:45
46,Liverpool,GB,53.4106,-2.9779,62.71,85,75,18.41,broken clouds,2022-07-25 01:54:46
47,Kodiak,US,57.79,-152.4072,54.91,94,100,5.75,mist,2022-07-25 01:54:46
48,Rio Gallegos,AR,-51.6226,-69.2181,24.85,80,0,9.22,clear sky,2022-07-25 01:54:47
49,Craigieburn,AU,-37.6,144.95,60.78,74,75,8.05,moderate rain,2022-07-25 01:54:48
50,Carnarvon,AU,-24.8667,113.6333,61.07,42,0,16.51,clear sky,2022-07-25 01:51:18
51,Qaanaaq,GL,77.484,-69.3632,40.05,93,100,1.21,overcast clouds,2022-07-25 01:54:49
52,Meulaboh,ID,4.1363,96.1285,78.69,85,97,3.51,overcast clouds,2022-07-25 01:54:49
53,Ginda,IN,30.6945,78.4932,66.54,97,100,1.05,overcast clouds,2022-07-25 01:54:50
54,Castro,BR,-24.7911,-50.0119,58.21,72,100,3.22,overcast clouds,2022-07-25 01:50:17
55,Mangan,IN,27.5167,88.5333,79.56,80,69,2.46,broken clouds,2022-07-25 01:54:51
56,Georgetown,MY,5.4112,100.3354,82.33,90,20,3.44,few clouds,2022-07-25 01:54:52
57,Sarkand,KZ,45.41,79.9186,77.32,28,0,4.32,clear sky,2022-07-25 01:54:52
58,Tecoanapa,MX,16.5167,-98.75,79.07,85,100,3.89,overcast clouds,2022-07-25 01:54:53
59,Mataura,NZ,-46.1927,168.8643,43.48,81,69,4.7,broken clouds,2022-07-25 01:52:07
60,Hermanus,ZA,-34.4187,19.2345,49.03,82,0,11.3,clear sky,2022-07-25 01:53:25
61,Warwick,US,41.7001,-71.4162,83.52,79,20,10.36,few clouds,2022-07-25 01:54:55
62,Puerto Ayora,EC,-0.7393,-90.3518,70.56,91,100,5.99,overcast clouds,2022-07-25 01:51:33
63,Narsaq,GL,60.9167,-46.05,49.71,70,100,4.72,overcast clouds,2022-07-25 01:54:56
64,Lorengau,PG,-2.0226,147.2712,85.75,67,63,9.8,broken clouds,2022-07-25 01:54:56
