City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bahia Blanca,AR,-38.7196,-62.2724,46.72,85,69,10.11,broken clouds
1,Mozarlandia,BR,-14.7447,-50.5706,71.8,31,0,3.98,clear sky
2,Avera,US,33.194,-82.5271,81.91,57,52,8.86,broken clouds
3,San Miguel,SV,13.4833,-88.1833,82.06,83,20,5.75,few clouds
4,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.13,overcast clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,0,10.36,clear sky
6,Nueve De Julio,AR,-35.4444,-60.8831,54.63,89,100,13.82,overcast clouds
7,Zorritos,PE,-3.6805,-80.6782,73.69,85,59,9.35,broken clouds
8,Cape Town,ZA,-33.9258,18.4232,60.39,75,0,1.14,clear sky
9,Rikitea,PF,-23.1203,-134.9692,74.03,68,100,15.84,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,40.66,87,75,20.71,moderate rain
11,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,32.21,few clouds
12,Georgetown,MY,5.4112,100.3354,82.33,86,20,5.99,few clouds
13,Atuona,PF,-9.8,-139.0333,76.87,75,31,22.86,light rain
14,Mar Del Plata,AR,-38.0023,-57.5575,51.1,58,100,15.01,overcast clouds
15,Cabedelo,BR,-6.9811,-34.8339,74.07,81,66,9.73,broken clouds
16,Castro,BR,-24.7911,-50.0119,57.09,81,98,2.64,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,99,3.0,overcast clouds
18,Touros,BR,-5.1989,-35.4608,73.6,85,12,11.34,few clouds
19,Port-Gentil,GA,-0.7193,8.7815,75.07,80,99,13.49,overcast clouds
20,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
21,Caravelas,BR,-17.7125,-39.2481,68.38,84,14,2.33,few clouds
22,Hermanus,ZA,-34.4187,19.2345,52.11,83,0,12.53,clear sky
23,Jamestown,US,42.097,-79.2353,72.99,71,100,6.91,overcast clouds
24,Cristalina,BR,-16.7686,-47.6136,57.65,53,0,3.47,clear sky
25,Rio Grande,BR,-32.035,-52.0986,60.17,96,96,7.49,overcast clouds
26,Guaiba,BR,-30.1139,-51.325,68.29,85,100,0.0,overcast clouds
27,Tucuman,AR,-26.8241,-65.2226,71.6,64,100,4.61,smoke
28,Altamira,BR,-3.2033,-52.2064,77.47,71,100,1.97,overcast clouds
29,Viedma,AR,-40.8135,-62.9967,45.54,84,67,10.22,broken clouds
30,Avarua,CK,-21.2078,-159.775,78.85,65,75,19.57,broken clouds
31,Saldanha,ZA,-33.0117,17.9442,44.65,68,0,4.47,clear sky
32,Antofagasta,CL,-23.65,-70.4,56.48,85,90,6.98,overcast clouds
33,Huarmey,PE,-10.0681,-78.1522,62.91,86,31,10.56,scattered clouds
34,Vila Velha,BR,-20.3297,-40.2925,66.94,90,75,3.44,broken clouds
